Date,USA HPI,US Population (25-54),US Mortgage to Income,Unemployment,CPI,Next Ohio HPI 1 Yr Out,Next Ohio HPI 2 Yr Out,Next Ohio HPI 3 Yr Out,Next Ohio HPI 4 Yr Out,Next Ohio HPI 5 Yr Out,Ohio HPI
1980-01-01,9.397221310578718,0.9271123067593701,4.372891,6.3,13.868613138686126,1.2195349733279244,0.21118599686553097,8.659837323374223,3.488168653840848,3.8894778844743954,4.42773600668338
1981-01-01,5.190000000000006,0.9119979401041034,4.598035,7.5,11.794871794871797,1.3188600027246444,1.2960125857037141,7.717610737030231,4.212912681113263,4.907765403628289,3.3299999999999885
1982-01-01,0.9031276737332394,0.8663690155455095,4.89099,8.6,8.25688073394495,2.093801988468165,3.1843159692437233,6.560407386760911,5.292205695447677,6.111402223015855,-13.723023323333006
1983-01-01,7.810439042773698,0.6050219478717533,4.849154,10.4,3.7076271186440746,3.7510523102924545,4.378128447112562,3.905022656066251,3.4430481284979386,3.09406593488157,14.817722938867073
1984-01-01,4.369483527047113,0.9793084441440891,4.900392,8.0,4.290091930541351,4.453385859687273,5.420222493692435,6.604005861562751,6.226422459289509,6.233078433814946,3.6733098866744918
1985-01-01,4.580088754919198,1.2762488155908747,5.226777,7.3,3.52595494613126,4.457809016443111,5.329738801422373,6.629536430932642,6.454269514319307,6.490423073028932,1.9411986430456052
1986-01-01,6.261008807045632,0.9093417611258037,5.503128,6.7,3.9735099337748325,3.813616047116639,3.924552524459852,5.187431891729123,4.462741845974538,4.303496150253849,4.492512479201327
1987-01-01,7.33875828812538,0.6761944583179691,5.727013,6.6,1.364877161055511,4.723416334152866,4.718569601401274,3.893398945554921,3.9777372920984924,3.3766260590275756,6.342887473460701
1988-01-01,5.00491365997473,1.2611291895475274,5.746887,5.7,4.129263913824044,3.662089062588535,3.849183645906141,6.002210943478538,5.3345728175718286,5.4270326719630475,6.912902420763678
1989-01-01,5.2209372284243605,1.0217233678373683,5.760173,5.4,4.482758620689653,3.5546458502038014,3.5020574173659966,5.642511881382585,4.748506334391518,4.7628061306670055,5.220977279800798
1990-01-01,4.980940279542567,0.07768853856513491,6.019675,5.4,5.198019801980203,2.5049744450628104,1.8047972514370763,2.951970419108534,1.7634819610069599,1.6385852240208791,5.043259631738528
1991-01-01,1.476640038731536,0.34540167696162083,6.216675,6.4,5.647058823529405,1.4194074244425074,1.3919674968202678,2.7440895526087097,2.1174335999184706,2.6004803104030287,3.738120380147847
1992-01-01,3.0653625954198294,0.5673648010188215,5.990278,7.3,2.672605790645899,3.1352970233863715,3.571136518584975,3.030325150945039,3.412002336671204,3.463007385969515,4.7095548317046765
1993-01-01,1.6664737877560398,0.24605344744188518,5.77348,7.3,3.2537960954446943,3.300778227218945,3.8857618631023847,3.2481596347254253,3.6135977567446744,3.694698152309119,3.545042125729103
1994-01-01,3.2555492316448387,0.4556898082265004,5.563705,6.6,2.450980392156854,4.526174441792893,5.077006420761258,4.546516610393116,4.8789687328308275,4.671637496924877,4.7756149464855735
1995-01-01,1.44967478778526,0.4778523577409821,5.648761,5.6,2.8708133971291794,4.570887020964452,5.2028409398404065,5.256580843519444,5.610641258032729,5.5804993066983855,3.7156511350059818
1996-01-01,5.172507470795962,0.053685512398482516,5.600129,5.6,2.7906976744185963,4.6592756685119525,4.501822749042159,3.9998883990881318,3.728007294112995,3.1788956806563995,6.4566294205736785
1997-01-01,2.236916877615336,-0.28975205797806547,5.61989,5.3,3.0381383322559907,4.611311357935676,4.710398378245493,3.8583870983422734,3.925959305256189,3.5483929893029504,4.025320564843371
1998-01-01,5.073269327943408,-0.4197694021531806,5.53176,4.6,1.6311166875784044,5.846877795599925,5.542791273363928,3.897496941262226,3.9366477265218442,2.9984652676083563,4.675716440422306
1999-01-01,4.607098201404258,-0.5240311706933731,5.486907,4.3,1.6666666666666607,6.0590957101518885,5.7696764935205955,4.087478580687904,4.146514372824221,3.185241606566418,4.362516148265927
2000-01-01,5.810959911732239,-0.6335915507882595,5.603787,4.0,2.792956891317555,5.303486149905371,4.50627287240059,3.544355861015678,2.921189305451186,1.9570203489938294,2.8994477242429983
2001-01-01,7.668578380257207,-0.1679245165915888,5.720924,4.2,3.7212049616065945,4.472028726521415,3.4134002165429003,3.753149584525609,2.5144037363900757,1.6965960083294114,5.741914588442132
2002-01-01,6.032847746257208,-0.07715358365693037,5.818683,5.7,1.1958997722095743,4.9571111599729605,4.670813446383299,2.845867494783061,3.057087245107745,2.2585098300710023,3.671129780344806
2003-01-01,6.473588065154501,-0.07750577987785112,5.876676,5.8,2.757456387169399,3.9377883608868096,3.3581945066535788,2.5597231918116314,2.1035056988131053,1.4775101303563112,3.093740767315234
2004-01-01,7.356042463452139,0.21815504350091164,5.850716,5.7,2.026286966046009,4.451477205782144,3.953921879751654,3.1747842021014243,2.8606576653979623,2.14894115633318,3.574060427413417
2005-01-01,11.123689029465611,0.4505884573737351,7.49597,5.3,2.8448738593666034,0.4393045533434332,-1.7595174335208448,-1.679017161173185,-2.943150599251261,-3.3886001638749086,3.715561879916196
2006-01-01,10.46860019175455,0.500875852450422,7.898613,4.7,4.018789144050117,-0.8289734797756019,-3.367000888078447,-2.307845769155513,-3.979099574093155,-4.132899406359051,1.8750714585159534
2007-01-01,3.2818009221589506,0.69015662308749,8.548444,4.6,2.075765178123423,-1.14283339001069,-2.542665689902087,-2.84900702899132,-2.538598683091994,-2.009413337403803,-0.2132355691893295
2008-01-01,-2.226890756302524,1.3036245818694558,8.911721,5.0,4.294695655165981,-3.244475187094068,-3.873190554932094,-2.149377430251487,-1.6739514052581832,-0.012411251992723749,-1.2821474094624086
2009-01-01,-5.777288354103993,1.4632004992654268,8.736014,7.8,-0.11358601902212717,-1.6858688418744876,-0.6104800002601642,-2.6846064732110584,0.4537500584471381,2.129035837864592,-2.016557800394958
2010-01-01,-7.0066417718993135,1.3372469730075887,8.139607,9.8,2.6211113889767157,-2.694412828469055,-1.181840554847966,-2.2122197463263866,0.2953654009383122,2.3561490334806976,-5.457152823533962
2011-01-01,-3.4147687214541977,1.85770117047237,7.500138,9.1,1.7007834915029774,-0.4200969358194868,1.1422941795357673,0.7569604655431448,2.9505420407520297,4.503477503633871,-2.914770630918717
2012-01-01,-1.6154114697387922,2.3679653478742013,6.805059,8.3,3.0087663379855023,0.8416320429373201,2.4956376455033222,4.232386334929981,5.53417388548851,6.991884167038464,-1.1654421079300703
2013-01-01,2.1645161290322568,2.2572797407453216,6.520457,8.0,1.684061762098299,2.2945580085090036,3.557295823900038,4.5172416260771335,5.645647791831237,6.444584299469302,-0.23925489190805838
2014-01-01,4.650942502604916,1.7600343173506783,6.382673,6.6,1.557758795574915,3.240414458994554,3.767335367112743,4.48728955995902,5.036874071904986,5.27097620937192,0.8094218415417576
2015-01-01,5.40067583876418,1.3596254906449445,6.116055,5.7,-0.22993097820542818,5.170500569878573,5.654552163222984,4.9478726560366795,5.922098713541445,5.586627029954034,4.367220357704227
2016-01-01,4.846281559512233,2.4048249045696357,6.090748,4.8,1.2375025026943876,4.932069605846976,5.710060637799117,7.865367464085484,8.321140600963997,8.498750232333105,3.390727398542759
2017-01-01,5.242034564665432,2.6851863319487634,5.979369,4.7,2.5103933482571117,4.5656434031839765,5.302866816145812,8.810928601626284,8.70925929691165,9.060971353809503,4.169291338582659
2018-01-01,6.14314992087579,2.1996600792014265,5.924021,4.0,2.151318868063945,5.150175795096402,5.49620843927562,8.313207943531545,8.07930888047592,8.067559942799315,5.926149892286192
2019-01-01,4.597335940364178,2.5594947084763175,5.844992,4.0,1.4875893578291333,5.72862577732951,6.636308334970376,9.507256251305574,9.814074892243621,9.967472430549018,4.99875120419595
2020-01-01,5.086924011589877,2.733059547761729,5.915147,3.6,2.5122643638566533,5.207590146159795,5.888830347581752,9.856038613404888,9.646064688255414,9.927331104959508,6.150604866113918
2021-01-01,7.568985835946007,2.807644097529449,4.78471,6.4,1.3951009246599089,7.1112701982515905,8.609003693325825,11.266055063219302,11.395958558131436,11.221244329157692,7.782188360330378
2022-01-01,19.509270934535007,2.693374144564298,5.667339,4.0,7.5697666445729395,2.7530616153501555,0.5379619956929425,8.27298522653713,3.707236030057107,3.193147387348155,16.531527517894816
2023-01-01,8.070569921300685,2.6844684175542533,5.691535,3.4,6.362123304649603,3.707983154920708,3.4893655892392204,10.203629436728097,7.961853812384895,8.334990340026186,8.81865681152032
